date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,B.1.1.7,B.1.617.2,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
2020-05-14,0.030493186958680422,0.0434987018390537,0.22266881028938906,0.27004376406385655,0.0,0.0,0.0,0.0
2020-05-15,0.02934848568433828,0.0439862568150013,0.2162379421221865,0.2724268679459239,0.0,0.0,0.0,0.0
2020-05-16,0.024369724720030895,0.044391101571814924,0.21543408360128619,0.27480111270575314,0.0,0.0,0.0,0.0
2020-05-17,0.02187344844706791,0.044754476661971354,0.17926045016077172,0.27677669696486473,0.0,0.0,0.0,0.0
2020-05-18,0.03039664588735036,0.045259444315631364,0.20337620578778134,0.2790180548911214,0.0,0.0,0.0,0.0
2020-05-19,0.03562365532079219,0.04585124624367301,0.18569131832797428,0.2810645121281383,0.0,0.0,0.0,0.0
2020-05-20,0.03229988415071441,0.046387831654231874,0.18810289389067525,0.2831375467318698,0.0,0.0,0.0,0.0
2020-05-21,0.031293098692558065,0.04690769172961961,0.16157556270096463,0.2849182303017417,0.0,0.0,0.0,0.0
2020-05-22,0.024700722678876814,0.04731803522676347,0.1567524115755627,0.2866457591381846,0.0,0.0,0.0,0.0
2020-05-23,0.017942847685772603,0.04761611277549835,0.1607717041800643,0.2884175835858183,0.0,0.0,0.0,0.0
2020-05-24,0.016563689523914602,0.047891278906190576,0.13585209003215434,0.28991477524406883,0.0,0.0,0.0,0.0
2020-05-25,0.018977216307166107,0.048206540018457436,0.14067524115755628,0.29146512163574834,0.0,0.0,0.0,0.0
2020-05-26,0.019984001765322446,0.04853852646589544,0.15192926045016078,0.2931394957387622,0.0,0.0,0.0,0.0
2020-05-27,0.02220444640591383,0.0489074002963821,0.13665594855305466,0.29464554651925084,0.0,0.0,0.0,0.0
2020-05-28,0.021666574722789208,0.04926733867383214,0.14630225080385853,0.2962579067665976,0.0,0.0,0.0,0.0
2020-05-29,0.018908258399073206,0.04958145421519687,0.1310289389067524,0.29770194369141906,0.0,0.0,0.0,0.0
2020-05-30,0.013763998455342858,0.049810110167262514,0.11655948553054662,0.29898651641595353,0.0,0.0,0.0,0.0
2020-05-31,0.013598499475919899,0.05003601674916305,0.09003215434083602,0.2999787381066284,0.0,0.0,0.0,0.0
2020-06-01,0.018122138246814145,0.05033707278224347,0.09807073954983923,0.30105955101968496,0.0,0.0,0.0,0.0
2020-06-02,0.018591052021845866,0.05064591869745839,0.12459807073954984,0.3024327149666011,0.0,0.0,0.0,0.0
2020-06-03,0.017060186462183484,0.050929332938645974,0.11093247588424437,0.30365527383546836,0.0,0.0,0.0,0.0
2020-06-04,0.01577756937165554,0.05119143956105389,0.0972668810289389,0.3047272276262868,0.0,0.0,0.0,0.0
2020-06-05,0.014094996414188779,0.05142559425344977,0.08762057877813505,0.3056928719502472,0.0,0.0,0.0,0.0
2020-06-06,0.009998896673470514,0.05159170203425899,0.07877813504823152,0.3065610659295877,0.0,0.0,0.0,0.0
2020-06-07,0.009171401776355713,0.05174406296424261,0.09083601286173633,0.30756214674250076,0.0,0.0,0.0,0.0
